epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.5994770971967027,0.8221920974265523,0.13004244384957236,0.9601159536185526,1e-05
2,0.15151305530403894,0.9501088937286102,0.08047541899711597,0.9749100359856058,1e-05
3,0.10841408749438215,0.9641428507933686,0.06038652898454037,0.9808076769292283,1e-05
4,0.08313256160171198,0.9727432330325793,0.042869133771252316,0.9873050779688125,1e-05
5,0.06792688438663631,0.9779434641539624,0.03871917446962789,0.9884046381447421,1e-05
6,0.055647966612675646,0.9819214187297213,0.03209562689030185,0.9902039184326269,1e-05
7,0.044664151516536736,0.9850882261433842,0.028039939397695016,0.9906037584966013,1e-05
8,0.039106069757817156,0.9871549846659852,0.02779429869764283,0.9911035585765694,1e-05
